pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Computação ubíqua,0.3106060606060606,0.29735152000777004,0.0008620958341441319,0.004533383143874064,0.0007162841403851295,6,117,123
Computação vestível,0.03535353535353536,0.29735152000777004,2.0759687741320283e-05,0.004533383143874064,0.0006521859948501435,6,8,14
Concorrência (ciência da computação),0.022727272727272728,0.3009689350930227,4.591210728076685e-05,0.005224941160173382,0.0007001066584524495,7,2,9
Conhecimento humano,0.007575757575757576,0.3085251523913234,0.0,0.005889978426845737,0.0007076049103581091,3,0,3
Consultoria,0.015151515151515152,0.30060323772352937,0.0,0.0052297310737678526,0.0011064404379566403,4,2,6
Criptografia,0.15656565656565657,0.3549447125487298,0.006861890001804282,0.029140599623398745,0.0028615926310909348,32,30,62
Cálculo,0.05555555555555556,0.3415360740463621,0.0,0.018800281966979887,0.0022236605892002837,22,0,22
Cálculo lambda,0.06818181818181819,0.31676884077652323,0.0013602778282794568,0.010880350706022746,0.0011168025877870832,9,18,27
Cálculo numérico,0.005050505050505051,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,1,2
Data model,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Dennis Ritchie,0.14393939393939395,0.3225508013643607,0.0017615394822640446,0.02538553145580642,0.0016066763138305425,21,36,57
Desenvolvimento de software,0.06818181818181819,0.3268117102331105,0.0005291473441880856,0.020258749856838683,0.001658405288225313,21,6,27
Desenvolvimento iterativo e incremental,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Desenvolvimento ágil de software,0.23989898989898992,0.3365938294509723,0.0025909424188693304,0.049406662965411435,0.0026205056006401986,35,60,95
Dicionário Histórico da Suíça,0.030303030303030304,0.3426543831668486,4.460314745261817e-05,0.009826754364663756,0.003895832576499106,9,3,12
Digital object identifier,0.2575757575757576,0.44656401560733694,0.006848118306691717,0.09143925602274333,0.028730598980702824,95,7,102
Digitalizador,0.2474747474747475,0.37427604333807063,0.0001985472990092835,0.10802661393561541,0.0024177723675358983,46,52,98
Disco rígido,0.13131313131313133,0.382457446973576,0.0,0.11037734601634785,0.002946985553582717,52,0,52
Donald Knuth,0.40151515151515155,0.3939434150421412,0.011945799625213986,0.11602474551434919,0.003622531386255829,67,92,159
Douglas Engelbart,0.3257575757575758,0.38356041030459637,0.0044331291757952656,0.11296705731043269,0.0028739376157182884,57,72,129
Década de 1920,0.015151515151515152,0.2893525902297832,0.0,0.00291060895498532,0.0010291873370357927,3,3,6
Década de 1930,0.02777777777777778,0.2977093437382246,0.00014290289207276682,0.004103341060326425,0.0013222351577554755,7,4,11
Década de 1940,0.030303030303030304,0.29699455539791675,0.0003549538242449938,0.004055070259933043,0.001289794335030885,4,8,12
E-mail,0.28535353535353536,0.37770452617780864,0.002107497811346797,0.10554036553766107,0.0026838523648783424,44,69,113
ENIAC,0.03787878787878788,0.3316306496601403,0.00040184492548354407,0.011352302796532463,0.001848212006894848,9,6,15
Edgar Frank Codd,0.07575757575757576,0.3171749546749547,0.00031083231113877054,0.02033394290256362,0.001310221202773175,13,17,30
Edsger Dijkstra,0.3156565656565657,0.3811964016124263,0.002519554032678738,0.11267037857929796,0.0026600906362617433,53,72,125
Eletromagnetismo,0.045454545454545456,0.30467544907200084,1.564865019472918e-05,0.004667997919607942,0.0008864471450850191,5,13,18
Enciclopédia Treccani,0.16161616161616163,0.4082449911657832,0.00027690319696335345,0.07158528245495217,0.005265452738760583,58,6,64
Encyclopædia Britannica,0.3282828282828283,0.46415847025603124,0.02737737517048888,0.11153841372849875,0.020102318513492326,115,15,130
Engenharia Informática,0.012626262626262628,0.29817939877820115,0.0,0.007673692682528065,0.0009276410987405347,5,0,5
Engenharia de computação,0.3257575757575758,0.37258503711816965,0.007389839985825054,0.06142077252711146,0.00235212560477029,47,82,129
Engenharia de sistemas,0.24242424242424243,0.3361365008783487,0.00045675860220815973,0.0482541334489962,0.0014169459394041493,34,62,96
Engenharia de software,0.3282828282828283,0.379442430439363,0.0063722109055665685,0.06116323382131175,0.003317003466634437,54,76,130
Engenharia empresarial,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Engenho analítico,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Enigma (máquina),0.020202020202020204,0.3225508013643607,0.00010609501796831245,0.01055379769636386,0.0013370061644795365,5,3,8
Enterprise architecture,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Era da Informação,0.10353535353535355,0.3238173621027024,0.003487555087293126,0.009120018097411125,0.0018282525377772924,10,31,41
Eric Steven Raymond,0.12626262626262627,0.3801218289767908,0.0,0.11026306943132667,0.0024456320308344753,50,0,50
Especificação de programa,0.23989898989898992,0.3365938294509723,0.0025697045732643955,0.048317484835385845,0.0019285232783524252,35,60,95
Especificação de programas,0.005050505050505051,0.28534771008819454,0.0,0.0027157487608184335,0.0006110845944428835,1,1,2
Estatística,0.21212121212121213,0.3469796138099084,0.007036602618106151,0.025050285844910706,0.003708543664579054,34,50,84
Estrutura de dados,0.08585858585858587,0.3311866996605953,0.002145979029426141,0.013405368078471109,0.0013794044298705314,18,16,34
Faceted Application of Subject Terminology,0.19444444444444445,0.4280215651322918,0.00018025328382528666,0.09359005907312938,0.017440053495020955,76,1,77
File Transfer Protocol,0.10606060606060606,0.3755351402410226,0.0,0.10677498581650313,0.0023223517730508424,42,0,42
Formalismo de Backus-Naur,0.03787878787878788,0.2941693991040008,0.0010945692660987603,0.0038454992727379018,0.001056150896702853,6,9,15
Fortran,0.12373737373737374,0.3356804133601963,0.0010755954066028572,0.015403362041262032,0.001896879482893898,21,28,49
Fred Williams,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Function model,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Fundamentos da matemática,0.08585858585858587,0.32767743661783394,0.0002907729468440188,0.013751151281730602,0.0014578275665667122,18,16,34
Física,0.17424242424242425,0.368698158936609,0.00888967280560142,0.028039696996051952,0.0034839138409442313,29,40,69
Física computacional,0.08333333333333334,0.3229718859614421,0.0009711311616325186,0.008158624796386111,0.0011267562196042443,13,20,33
GNU,0.07575757575757576,0.31158244917690764,0.00038547864259970714,0.010672902547628671,0.0010248618062734403,10,20,30
GNU General Public License,0.05050505050505051,0.32004717289322726,0.00014573625633914884,0.009358956106136764,0.0009553459938831887,9,11,20
GQM,0.24242424242424243,0.3361365008783487,0.00033031484823268397,0.0482541334489962,0.001416945939404149,34,62,96
Gemeinsame Normdatei,0.3055555555555556,0.46855391031527394,0.0006283157502441249,0.12921236994158747,0.036959134104545106,120,1,121
Geometria analítica,0.042929292929292935,0.2995114584097635,8.783002269402964e-05,0.0057287277767186125,0.0007902991159797795,3,14,17
Geometria computacional,0.05050505050505051,0.30618374337433746,0.00024127667765860234,0.005227379747846304,0.0008064229344403295,9,11,20
George Boole,0.09343434343434344,0.3225508013643607,0.0008877119044485173,0.011376707706899617,0.0016551883899445057,11,26,37
Gestão da qualidade total,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Gottfried Leibniz,0.09343434343434344,0.33207579147176464,0.002815863168588807,0.01270776146946138,0.0025715809130777674,7,30,37
Governança em TI,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Grace Hopper,0.10606060606060606,0.31676884077652323,0.0009554024936182571,0.013517442837385289,0.001334944197762145,12,30,42
Grande Enciclopédia Soviética,0.18686868686868688,0.4193160417736689,0.0004495150787542536,0.07916179609090451,0.01153347933502855,70,4,74
Grã-Bretanha,0.020202020202020204,0.32213081334175087,9.839130071611251e-06,0.007092732017805219,0.001558922503062229,4,4,8
Guido van Rossum,0.05555555555555556,0.3054277341314378,0.00011169260084436271,0.007457949231104429,0.0008150851614599306,7,15,22
HTML,0.06060606060606061,0.32811202207753937,0.0003949816673764745,0.01563435248072879,0.001358454123690616,12,12,24
Hardware,0.36363636363636365,0.4055679748302699,0.022018511594533812,0.1237356292097822,0.005867336460733297,77,67,144
Harvard Mark I,0.045454545454545456,0.3163637655325635,0.0006408509685660605,0.010844681698642326,0.0014854468880617273,11,7,18
Heurística,0.030303030303030304,0.3100206323890535,0.0002429930578971713,0.010293232091347856,0.0010036068884103487,8,4,12
História da Computação na União Soviética,0.025252525252525256,0.28534771008819454,0.0,0.0027157487608184335,0.0006110845944428835,1,9,10
História da computação,0.4747474747474748,0.379442430439363,0.019907392763157786,0.10661947087298741,0.0027918710564657037,45,143,188
História da engenharia de software,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
História da Índia,0.020202020202020204,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,7,8
Howard Aiken,0.045454545454545456,0.30656315321742833,9.301336422485314e-05,0.0064040050095065925,0.0009816644563969289,5,13,18
IBM Rational Unified Process,0.24494949494949497,0.3370524041504968,0.0004533624877346759,0.04859240446875011,0.0014508435817772627,35,62,97
IDEF,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
ISO/IEC 15504,0.2474747474747475,0.33843565615111443,0.0008168832415739579,0.050072539899575,0.0016201838634186674,37,61,98
Implantação de software,0.2373737373737374,0.3361365008783487,8.415440630404073e-05,0.0482541334489962,0.0014163072805491615,34,60,94
Impressora,0.27272727272727276,0.37427604333807063,0.0005723393167067515,0.10802661393561541,0.0024240625955440596,46,62,108
Information model,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
